BLK_NO,STREET,MAX_FLOOR_LEVEL,YEAR_COMPLETED,RESIDENTIAL,COMMERCIAL,MARKET_HAWKER,MULTISTOREY_CARPARK,TOTAL_DWELLING_UNITS,REMAINING_LEASE,ADDRESS,lat,lon,postal
10C,LOR 7 TOA PAYOH,1,1997,N,N,N,N,0,70,10C LOR 7 TOA PAYOH Singapore,1.33691013,103.8580493,313010
10D,BEDOK STH AVE 2,23,1994,Y,N,N,N,84,67,10D BEDOK STH AVE 2 Singapore,1.321770859,103.9363266,463010
10E,BEDOK STH AVE 2,21,1992,Y,N,N,N,81,65,10E BEDOK STH AVE 2 Singapore,1.321620093,103.937041,464010
10F,BEDOK STH AVE 2,24,1992,Y,N,N,N,67,65,10F BEDOK STH AVE 2 Singapore,1.322217735,103.9370013,465010
100,ALJUNIED CRES,12,1977,Y,N,N,N,198,50,100 ALJUNIED CRES Singapore,1.320959012,103.8841294,380100
100,BEDOK NTH AVE 4,14,1978,Y,N,N,N,206,51,100 BEDOK NTH AVE 4 Singapore,1.334139,103.9383897,460100
100,C'WEALTH CRES,10,1964,Y,N,N,N,75,37,100 C'WEALTH CRES Singapore,1.3071,103.8001,140100
100,LOR 1 TOA PAYOH,16,1968,Y,N,N,N,192,41,100 LOR 1 TOA PAYOH Singapore,1.339564005,103.8485857,310100
100,WHAMPOA DR,25,1973,Y,N,N,N,96,46,100 WHAMPOA DR Singapore,1.320779477,103.8543487,320100
101,AH HOOD RD,25,1981,Y,N,N,N,96,54,101 AH HOOD RD Singapore,1.32739679,103.844481,320101
101,ALJUNIED CRES,12,1977,Y,Y,N,N,152,50,101 ALJUNIED CRES Singapore,1.320922753,103.883352,380101
101,ANG MO KIO AVE 3,12,1977,Y,N,N,N,88,50,101 ANG MO KIO AVE 3 Singapore,1.370261584,103.8394679,560101
101,BEDOK RESERVOIR RD,12,1985,Y,N,N,N,110,58,101 BEDOK RESERVOIR RD Singapore,1.328449133,103.9099374,470101
