BLK_NO,STREET,MAX_FLOOR_LEVEL,YEAR_COMPLETED,RESIDENTIAL,COMMERCIAL,MARKET_HAWKER,MULTISTOREY_CARPARK,TOTAL_DWELLING_UNITS,REMAINING_LEASE,ADDRESS,lat,lon,postal
10,TELOK BLANGAH CRES,10,1974,Y,Y,N,N,66,47,10 TELOK BLANGAH CRES Singapore,1.27773153190559,103.819769431353,090010
10,TOH YI DR,7,1988,Y,N,N,N,36,61,10 TOH YI DR Singapore,1.33753956576433,103.773161066389,590010
10,WOODLANDS AVE 8,4,2000,N,N,N,N,0,73,10 WOODLANDS AVE 8 Singapore,1.45428714079221,103.800262079753,738973
10A,BENDEMEER RD,40,2016,Y,N,N,N,220,89,10A BENDEMEER RD Singapore,1.31499138887312,103.86050538635,331010
118,ALKAFF CRES,1,2019,N,N,N,N,0,92,118 ALKAFF CRES Singapore,1.33731461799125,103.873879971632,340118
10A,BEDOK STH AVE 2,5,1992,N,N,N,Y,0,65,10A BEDOK STH AVE 2 Singapore,1.32258561622604,103.936849426204,460010
10A,BOON TIONG RD,40,2014,Y,N,N,N,228,87,10A BOON TIONG RD Singapore,1.28635847107695,103.82962615571,160010
10A,CHAI CHEE RD,1,1999,N,N,N,N,0,72,10A CHAI CHEE RD Singapore,1.32710364303997,103.924921271502,469010
10A,HOLLAND DR,6,1997,N,N,N,Y,0,70,10A HOLLAND DR Singapore,1.30840447057738,103.793697481916,272010
10A,JLN KUKOH,1,1999,N,N,N,N,0,72,10A JLN KUKOH Singapore,1.28683793317038,103.838674084243,163010
10A,LOR 7 TOA PAYOH,5,1997,N,N,N,Y,0,70,10A LOR 7 TOA PAYOH Singapore,1.33717164294913,103.857793534302,311010
10B,BEDOK STH AVE 2,20,1994,Y,N,N,N,56,67,10B BEDOK STH AVE 2 Singapore,1.32235386630343,103.936183263112,461010
10B,BENDEMEER RD,40,2016,Y,N,N,N,184,89,10B BENDEMEER RD Singapore,1.31547715332072,103.860312930116,332010
10B,BOON TIONG RD,30,2014,Y,N,N,N,160,87,10B BOON TIONG RD Singapore,1.28633684743341,103.829204757258,164010
10B,LOR 7 TOA PAYOH,25,1997,Y,N,N,N,96,70,10B LOR 7 TOA PAYOH Singapore,1.33716136352623,103.858353639387,312010
10C,BEDOK STH AVE 2,2,1994,Y,N,N,N,2,67,10C BEDOK STH AVE 2 Singapore,1.32209423564282,103.936223586082,462010
10C,BENDEMEER RD,40,2016,Y,N,N,N,220,89,10C BENDEMEER RD Singapore,1.31584236197018,103.860644539729,333010
10C,LOR 7 TOA PAYOH,1,1997,N,N,N,N,0,70,10C LOR 7 TOA PAYOH Singapore,1.33691012993385,103.858049346644,313010
10D,BEDOK STH AVE 2,23,1994,Y,N,N,N,84,67,10D BEDOK STH AVE 2 Singapore,1.3217708591015,103.936326570445,463010
10E,BEDOK STH AVE 2,21,1992,Y,N,N,N,81,65,10E BEDOK STH AVE 2 Singapore,1.3216200934601,103.937040959341,464010
10F,BEDOK STH AVE 2,24,1992,Y,N,N,N,67,65,10F BEDOK STH AVE 2 Singapore,1.32221773472774,103.937001345916,465010
100,ALJUNIED CRES,12,1977,Y,N,N,N,198,50,100 ALJUNIED CRES Singapore,1.32095901223871,103.884129395369,380100
100,BEDOK NTH AVE 4,14,1978,Y,N,N,N,206,51,100 BEDOK NTH AVE 4 Singapore,1.33413899974038,103.938389713003,460100
100,C'WEALTH CRES,10,1964,Y,N,N,N,75,37,100 C'WEALTH CRES Singapore,,,
100,LOR 1 TOA PAYOH,16,1968,Y,N,N,N,192,41,100 LOR 1 TOA PAYOH Singapore,1.33956400517882,103.848585713817,310100
100,WHAMPOA DR,25,1973,Y,N,N,N,96,46,100 WHAMPOA DR Singapore,1.32077947735201,103.854348739922,320100
101,AH HOOD RD,25,1981,Y,N,N,N,96,54,101 AH HOOD RD Singapore,1.32739678972464,103.84448102202,320101
101,ALJUNIED CRES,12,1977,Y,Y,N,N,152,50,101 ALJUNIED CRES Singapore,1.32092275330579,103.883351967045,380101
101,ANG MO KIO AVE 3,12,1977,Y,N,N,N,88,50,101 ANG MO KIO AVE 3 Singapore,1.37026158388486,103.839467898898,560101
101,BEDOK RESERVOIR RD,12,1985,Y,N,N,N,110,58,101 BEDOK RESERVOIR RD Singapore,1.32844913301985,103.909937396599,470101
101,BEDOK NTH AVE 4,13,1977,Y,N,N,N,168,50,101 BEDOK NTH AVE 4 Singapore,1.334484667124,103.937924710969,460101
101,BIDADARI PK DR,2,2019,N,N,N,Y,0,92,101 BIDADARI PK DR Singapore,,,
101,BISHAN ST 12,25,1986,Y,N,N,N,92,59,101 BISHAN ST 12 Singapore,1.34485915828152,103.848400765185,570101
101,BT BATOK WEST AVE 6,13,1984,Y,N,N,N,96,57,101 BT BATOK WEST AVE 6 Singapore,1.34670636093149,103.746920663038,650101
101,BT PURMEI RD,11,1982,Y,N,N,N,140,55,101 BT PURMEI RD Singapore,1.27146256556443,103.825683545567,090101
101,C'WEALTH CRES,10,1964,Y,N,N,N,76,37,101 C'WEALTH CRES Singapore,,,
101,CANBERRA ST,1,2019,N,N,N,N,0,92,101 CANBERRA ST Singapore,1.45139998591606,103.830859953414,750101
101,CLEMENTI ST 14,15,1984,Y,N,N,N,112,57,101 CLEMENTI ST 14 Singapore,1.32208936757694,103.76893341249,120101
101,GANGSA RD,13,1986,Y,N,N,N,60,59,101 GANGSA RD Singapore,1.37916431633637,103.767439286222,670101
101,HENDERSON CRES,12,1967,Y,N,N,N,96,40,101 HENDERSON CRES Singapore,1.29071799751539,103.821625207737,150101
101,HOUGANG AVE 1,9,1983,Y,N,N,N,108,56,101 HOUGANG AVE 1 Singapore,1.35493747800562,103.891360573947,530101
101,JLN RAJAH,17,1980,Y,N,N,N,128,53,101 JLN RAJAH Singapore,1.32871478392959,103.850545321033,321101
101,JURONG EAST ST 13,16,1982,Y,N,N,N,238,55,101 JURONG EAST ST 13 Singapore,1.33701100762294,103.738787314099,600101
101,LENGKONG TIGA,4,1988,Y,N,N,N,10,61,101 LENGKONG TIGA Singapore,1.32515983382087,103.910888819332,410101
101,PASIR RIS ST 12,13,1988,Y,N,N,N,96,61,101 PASIR RIS ST 12 Singapore,1.36705021516612,103.958181857039,510101
101,POTONG PASIR AVE 1,16,1984,Y,N,N,N,120,57,101 POTONG PASIR AVE 1 Singapore,1.33315710123237,103.868380398922,350101
101,PUNGGOL FIELD,4,2001,N,N,N,Y,0,74,101 PUNGGOL FIELD Singapore,1.39848166105504,103.905808105789,820101
101,RIVERVALE WALK,17,1998,Y,N,N,N,131,71,101 RIVERVALE WALK Singapore,1.38276428893595,103.899272035914,540101
101,SERANGOON NTH AVE 1,13,1984,Y,N,N,N,144,57,101 SERANGOON NTH AVE 1 Singapore,1.37103631988089,103.870360910842,550101
101,SIMEI ST 1,11,1988,Y,N,N,N,140,61,101 SIMEI ST 1 Singapore,1.34084991073361,103.951433717517,520101
101,SPOTTISWOODE PK RD,20,1973,Y,N,N,N,76,46,101 SPOTTISWOODE PK RD Singapore,,,
101,TAMPINES ST 11,11,1981,Y,N,N,N,120,54,101 TAMPINES ST 11 Singapore,1.34740034584157,103.945294915705,521101
101,TECK WHYE LANE,13,1988,Y,N,N,N,66,61,101 TECK WHYE LANE Singapore,1.37788964623982,103.754239909547,680101
101,TOWNER RD,4,1982,Y,Y,N,N,44,55,101 TOWNER RD Singapore,1.31942539040726,103.861087462608,322101
101,WHAMPOA DR,25,1973,Y,Y,N,N,96,46,101 WHAMPOA DR Singapore,1.32041710187602,103.853813946402,323101
101,WOODLANDS ST 13,10,1984,Y,N,N,N,146,57,101 WOODLANDS ST 13 Singapore,1.43598268540185,103.781932747463,730101
101,YISHUN AVE 5,4,1977,Y,Y,N,N,107,50,101 YISHUN AVE 5 Singapore,1.4305357538408,103.827667722074,760101
101A,BIDADARI PK DR,16,2020,Y,N,N,N,295,93,101A BIDADARI PK DR Singapore,,,
101A,CANBERRA ST,15,2019,Y,N,N,N,164,92,101A CANBERRA ST Singapore,1.45173892803325,103.83045410628,751101
101A,LOR 2 TOA PAYOH,17,1992,Y,N,N,N,64,65,101A LOR 2 TOA PAYOH Singapore,1.33974126719163,103.847264187382,310101
101A,PUNGGOL FIELD,16,2001,Y,N,N,N,82,74,101A PUNGGOL FIELD Singapore,1.3979461677694,103.905945136259,821101
101A,YISHUN AVE 5,1,1984,N,Y,N,N,0,57,101A YISHUN AVE 5 Singapore,1.43113228990206,103.828367142634,761101
101B,CANBERRA ST,16,2019,Y,N,N,N,240,92,101B CANBERRA ST Singapore,1.45166310353079,103.831174909166,752101
101B,LOR 2 TOA PAYOH,13,1992,Y,N,N,N,48,65,101B LOR 2 TOA PAYOH Singapore,1.33959884500115,103.847605414427,311101
101B,PUNGGOL FIELD,17,2001,Y,N,N,N,92,74,101B PUNGGOL FIELD Singapore,1.39784715104396,103.906436071245,822101
101B,YISHUN AVE 5,1,1984,N,Y,N,N,0,57,101B YISHUN AVE 5 Singapore,1.43139161655907,103.828230053946,762101
101C,LOR 2 TOA PAYOH,4,1992,N,N,N,Y,0,65,101C LOR 2 TOA PAYOH Singapore,1.33926018714492,103.847063773104,312101
101C,PUNGGOL FIELD,17,2001,Y,Y,N,N,86,74,101C PUNGGOL FIELD Singapore,1.39809045787162,103.906569305679,823101
101C,YISHUN AVE 5,1,1984,N,Y,N,N,0,57,101C YISHUN AVE 5 Singapore,1.43153255083691,103.827987575179,763101
101D,PUNGGOL FIELD,17,2001,Y,N,N,N,85,74,101D PUNGGOL FIELD Singapore,1.39848478483582,103.90614388692,824101
102,ALJUNIED CRES,12,1977,Y,N,N,N,150,50,102 ALJUNIED CRES Singapore,1.3204390302197,103.882420433245,380102
102,ANG MO KIO AVE 3,12,1977,Y,N,N,N,88,50,102 ANG MO KIO AVE 3 Singapore,1.37065009249377,103.839410348811,560102
102,BEDOK NTH AVE 4,14,1976,Y,N,N,N,149,49,102 BEDOK NTH AVE 4 Singapore,1.33390654765002,103.937458398204,460102
102,BEDOK RESERVOIR RD,4,1985,Y,N,N,N,24,58,102 BEDOK RESERVOIR RD Singapore,1.32849187727623,103.90926515578,470102
102,BISHAN ST 12,25,1986,Y,N,N,N,92,59,102 BISHAN ST 12 Singapore,1.3451431233477,103.847990805259,570102
102,BT BATOK WEST AVE 6,13,1984,Y,N,N,N,96,57,102 BT BATOK WEST AVE 6 Singapore,1.34745833930547,103.747473341114,650102
102,BT PURMEI RD,10,1983,Y,N,N,N,147,56,102 BT PURMEI RD Singapore,1.27190842334423,103.826671653892,090102
102,C'WEALTH CRES,10,1964,Y,N,N,N,95,37,102 C'WEALTH CRES Singapore,,,
102,CANBERRA ST,6,2019,N,N,N,Y,0,92,102 CANBERRA ST Singapore,1.45183449125061,103.832106719013,750102
